post_id,likes,comments,shares,followers,engagement_rate,growth rate,engagement,Clause 1,Clause 2,Combined,Label
IG0000124,29119,3053,3059,391124,9.01,0.194823125,35231,,,,unlabeled
IG0000125,92077,5213,560,773023,12.66,0.040490386,97850,,,,unlabeled
IG0000126,164084,6443,579,1305598,13.11,0.062576689,171106,,,,unlabeled
IG0000127,75323,314,2543,397890,19.65,0.189750936,78180,,,,unlabeled
IG0000128,77733,7827,4545,1069988,8.42,0.055514641,90105,,,,unlabeled
IG0000129,107334,5737,2054,958579,12.01,0.03275682,115125,,,,unlabeled
IG0000130,66481,9669,4250,179446,44.8,0.346622382,80400,1,0,1,fraud
IG0000131,106325,564,3324,609657,18.08,0.069383276,110213,,,,unlabeled
IG0000132,120220,8553,1481,865197,15.05,0.035598829,130254,,,,unlabeled
IG0000133,42971,4204,3072,1781834,2.82,0.056009707,50247,,,,unlabeled
IG0000134,149861,8529,4536,1130190,14.42,0.011679452,162926,,,,unlabeled
IG0000135,6544,6524,2842,272538,5.84,0.342704504,15910,,,,unlabeled
IG0000136,159079,4144,3376,1316167,12.66,0.074458636,166599,,,,unlabeled
IG0000137,30825,904,3935,1760549,2.03,0.026866619,35664,,,,unlabeled
IG0000138,82728,3568,3728,1606129,5.61,0.023161278,90024,,,,unlabeled
IG0000139,112420,3292,1416,1830574,6.4,0.01032463,117128,,,,unlabeled
IG0000140,184138,8493,4629,1284686,15.35,0.026232091,197260,,,,unlabeled
IG0000141,79883,8961,927,1471401,6.1,0.042272637,89771,,,,unlabeled
IG0000142,94825,7170,2268,1484988,7.02,0.009697048,104263,,,,unlabeled
IG0000143,173,8780,2633,305909,3.79,0.241248214,11586,,,,unlabeled
IG0000144,109921,4198,2191,1591949,7.31,0.020792123,116310,,,,unlabeled
IG0000145,24424,2637,2398,958324,3.07,0.006156582,29459,,,,unlabeled
IG0000146,71608,7462,433,819378,9.7,0.103859269,79503,0,0,0,genuine
IG0000147,182434,7859,27,1428502,13.32,0.024151174,190320,0,0,0,genuine
IG0000148,95509,6295,258,876963,11.64,0.084382123,102062,0,0,0,genuine
IG0000149,135425,4046,3037,598868,23.8,0.009851921,142508,0,0,0,genuine
IG0000150,27095,2476,4934,1983868,1.74,0.013357744,34505,0,0,0,genuine
IG0000151,133491,4282,4741,976154,14.6,0.093427881,142514,0,0,0,genuine
IG0000152,172245,9740,2089,1745042,10.55,0.029282963,184074,0,0,0,genuine
IG0000153,186969,7466,1905,442302,44.39,0.01763501,196340,1,0,1,fraud
IG0000154,156102,3713,680,373156,43.01,0.092722615,160495,1,0,1,fraud
IG0000155,107713,4603,4570,1604853,7.28,0.00249244,116886,0,0,0,genuine
IG0000156,165728,7755,3244,131887,134,0.688468158,176727,1,0,1,fraud
IG0000157,145669,2901,4194,1180015,12.95,0.023898001,152764,0,0,0,genuine
IG0000158,199705,334,4195,462462,44.16,0.102494908,204234,1,0,1,fraud
IG0000159,23488,4135,1231,948897,3.04,0.014964743,28854,0,0,0,genuine
IG0000160,76948,2419,2742,3190,2573.95,26.3322884,82109,1,1,2,genuine
IG0000161,38176,9354,3953,1045076,4.93,0.005645522,51483,,,,unlabeled
IG0000162,8111,4291,4296,1442988,1.16,0.031808996,16698,,,,unlabeled
IG0000163,154462,8482,3068,1210347,13.72,0.071549729,166012,,,,unlabeled
IG0000164,99584,1708,3346,1539906,6.8,0.041950613,104638,,,,unlabeled
IG0000165,53192,667,429,1076486,5.04,0.033720829,54288,,,,unlabeled
IG0000166,80156,9626,300,865393,10.41,0.074417057,90082,,,,unlabeled
IG0000167,85508,4309,4829,373817,25.32,0.231664157,94646,,,,unlabeled
IG0000168,153130,9023,1136,1422456,11.48,0.05884189,163289,,,,unlabeled
IG0000169,23084,374,1088,1563977,1.57,0.048466186,24546,,,,unlabeled
IG0000170,126872,5535,4962,1089602,12.61,0.084342723,137369,,,,unlabeled
IG0000171,153296,7983,865,1641449,9.88,0.048554661,162144,,,,unlabeled
IG0000172,74575,2599,4578,822315,9.94,0.001824118,81752,,,,unlabeled
IG0000173,160316,1005,4459,1622157,10.22,0.037604252,165780,,,,unlabeled
IG0000174,12903,119,2251,225578,6.77,0.088661128,15273,,,,unlabeled
IG0000175,29054,5374,4683,1463852,2.67,0.046589409,39111,,,,unlabeled
IG0000176,152979,5891,2221,1358004,11.86,0.066126462,161091,,,,unlabeled
IG0000177,177048,4233,3505,781644,23.64,0.118979996,184786,,,,unlabeled
IG0000178,145431,4225,670,382237,39.33,0.086857107,150326,,,,unlabeled
IG0000179,67523,7239,3078,1016775,7.66,0.024390844,77840,,,,unlabeled
IG0000180,132268,7024,4110,564794,25.39,0.015935013,143402,,,,unlabeled
IG0000181,103709,1440,3435,1867121,5.82,0.035937682,108584,,,,unlabeled
IG0000182,171391,8510,4596,1094651,16.85,0.084136405,184497,,,,unlabeled
IG0000183,134431,7759,636,194249,73.53,0.412872138,142826,1,0,1,fraud
IG0000184,129104,9610,2475,463019,30.49,0.041682955,141189,,,,unlabeled
IG0000185,151164,2342,1458,910035,17.03,0.082414413,154964,,,,unlabeled
IG0000186,15606,4809,2093,62169,36.2,0.554938957,22508,,,,unlabeled
IG0000187,173092,4033,4409,367569,49.39,0.04135278,181534,1,0,1,fraud
IG0000188,102665,2940,2885,1061889,10.22,0.025708902,108490,,,,unlabeled
IG0000189,65978,8221,4077,724593,10.8,0.053409293,78276,,,,unlabeled
IG0000190,73562,5761,1911,1427095,5.69,0.053325112,81234,,,,unlabeled
IG0000191,166204,4832,4236,902667,19.42,0.000997045,175272,,,,unlabeled
IG0000192,68109,1447,2839,170163,42.54,0.418422336,72395,1,0,1,fraud
IG0000193,49797,9967,2832,1746076,3.58,0.027146585,62596,,,,unlabeled
IG0000194,182215,9131,2745,78763,246.42,0.34787908,194091,1,0,1,fraud
IG0000195,84905,2416,3114,1409679,6.42,0.007306628,90435,,,,unlabeled
IG0000196,123388,4976,169,1853770,6.93,0.048064215,128533,,,,unlabeled
IG0000197,197202,610,1973,149883,133.29,0.322251356,199785,1,0,1,fraud
IG0000198,90898,1650,3656,1177648,8.17,0.025134845,96204,,,,unlabeled
IG0000199,140965,3336,2576,24574,597.69,2.929925938,146877,1,0,1,fraud
IG0000200,145549,6519,149,382768,39.77,0.215796514,152217,,,,unlabeled
IG0000201,160136,2665,3655,372334,44.71,0.041360714,166456,1,0,1,fraud
IG0000202,32829,6896,135,1550648,2.57,0.042562851,39860,,,,unlabeled
IG0000203,173554,6449,1179,1310536,13.83,0.040365164,181182,,,,unlabeled
IG0000204,119754,7739,138,417654,30.56,0.016760285,127631,,,,unlabeled
IG0000205,115114,6911,2594,498185,25.01,0.050583619,124619,,,,unlabeled
IG0000206,174274,6140,201,1254268,14.4,0.008291689,180615,,,,unlabeled
IG0000207,154813,4743,2259,1056648,15.31,0.05914931,161815,,,,unlabeled
IG0000208,43118,9260,1546,364330,14.8,0.107320287,53924,,,,unlabeled
IG0000209,41352,9500,2918,959539,5.6,0.057944492,53770,,,,unlabeled
IG0000210,153298,5227,4128,145584,111.72,0.228047038,162653,1,0,1,fraud
IG0000211,142534,1844,1364,688375,21.17,0.124931905,145742,,,,unlabeled
IG0000212,153505,1605,658,1698721,9.17,0.014187144,155768,,,,unlabeled
IG0000213,189790,9309,2846,1491217,13.54,0.025214305,201945,,,,unlabeled
IG0000214,191534,4007,4040,1431899,13.94,0.000977723,199581,,,,unlabeled
IG0000215,144951,8585,2727,1557873,10.03,0.031838282,156263,,,,unlabeled
IG0000216,95489,9666,2221,1112056,9.66,0.067082953,107376,,,,unlabeled
IG0000217,187048,9900,1604,1854301,10.71,0.047888665,198552,,,,unlabeled
IG0000218,161008,5831,1628,456704,36.89,0.199910664,168467,,,,unlabeled
IG0000219,47687,3522,2432,905096,5.93,0.099547451,53641,,,,unlabeled
IG0000220,17002,213,931,690476,2.63,0.132806933,18146,,,,unlabeled
IG0000221,92136,1751,3444,1494580,6.51,0.019202719,97331,,,,unlabeled
IG0000222,190059,136,4244,1260337,15.43,0.024993315,194439,,,,unlabeled
IG0000223,156819,6314,3931,1149339,14.54,0.072911473,167064,,,,unlabeled
IG0000224,106362,1345,4313,1849145,6.06,0.032609666,112020,,,,unlabeled
IG0000225,87679,2931,1901,283104,32.68,0.042034023,92511,,,,unlabeled
IG0000226,24966,6993,2265,206913,16.54,0.331057014,34224,,,,unlabeled
IG0000227,125561,7385,4450,841452,16.33,0.108384079,137396,,,,unlabeled
IG0000228,28939,6155,1699,1743810,2.11,0.028099392,36793,,,,unlabeled
IG0000229,5206,4879,4862,1184204,1.26,0.016973427,14947,,,,unlabeled
IG0000230,17776,9672,3483,1072834,2.88,0.023955244,30931,,,,unlabeled
IG0000231,140389,1279,1949,78466,183.03,0.364489078,143617,1,0,1,fraud
IG0000232,56228,1232,2460,1768879,3.39,0.041099476,59920,,,,unlabeled
IG0000233,189961,6761,3641,755311,26.53,0.095854555,200363,,,,unlabeled
IG0000234,60897,4713,1533,704763,9.53,0.109682262,67143,,,,unlabeled
IG0000235,71870,8847,4244,103912,81.76,0.737162214,84961,1,0,1,fraud
IG0000236,102580,5303,4897,1850069,6.1,0.014756206,112780,,,,unlabeled
IG0000237,80145,3104,4499,717840,12.22,0.038170066,87748,,,,unlabeled
IG0000238,179827,6380,3471,1535778,12.35,0.01256692,189678,,,,unlabeled
IG0000239,44761,3633,2248,154806,32.71,0.644031885,50642,,,,unlabeled
IG0000240,77868,9127,529,1600694,5.47,0.032298491,87524,,,,unlabeled
IG0000241,12122,6356,4976,1894865,1.24,0.035411494,23454,,,,unlabeled
IG0000242,70155,2041,296,1771913,4.09,0.040069687,72492,,,,unlabeled
IG0000243,193726,6271,1238,1768189,11.38,0.025958763,201235,,,,unlabeled
IG0000244,78400,2696,3475,680736,12.42,0.105620975,84571,,,,unlabeled
IG0000245,178319,169,2544,1133193,15.98,0.02056137,181032,,,,unlabeled
IG0000246,119398,6020,2494,1910721,6.69,0.028941954,127912,,,,unlabeled
IG0000247,184300,57,2382,1844709,10.12,0.033718055,186739,,,,unlabeled
IG0000248,119158,5844,3621,1404703,9.16,0.005552775,128623,,,,unlabeled
IG0000249,115714,7839,2048,56685,221.58,0.437505513,125601,1,0,1,fraud
IG0000250,164844,4175,310,1218302,13.9,0.037429143,169329,,,,unlabeled
IG0000251,109423,5154,3434,1501415,7.86,0.066204214,118011,,,,unlabeled
IG0000252,7678,9407,2086,911406,2.1,0.000329162,19171,,,,unlabeled
IG0000253,113555,7633,1720,1941541,6.33,0.000412044,122908,,,,unlabeled
IG0000254,124148,3857,2062,1615815,8.05,0.049324954,130067,,,,unlabeled
IG0000255,88778,5076,2847,389259,24.84,0.179058159,96701,,,,unlabeled
IG0000256,108946,7023,1141,1366872,8.57,0.02531327,117110,,,,unlabeled
IG0000257,126157,5668,4875,1253368,10.91,0.034147992,136700,,,,unlabeled
IG0000258,77281,6092,2187,1177127,7.27,0.046214215,85560,,,,unlabeled
IG0000259,2851,6932,1241,226235,4.87,0.19006785,11024,,,,unlabeled
IG0000260,42089,5239,411,261360,18.27,0.249081726,47739,,,,unlabeled
IG0000261,30992,5774,4715,331991,12.49,0.123798537,41481,,,,unlabeled
IG0000262,169194,3765,2517,234086,74.96,0.337909999,175476,1,0,1,fraud
IG0000263,36305,903,951,1293156,2.95,0.050264624,38159,,,,unlabeled
IG0000264,186277,5986,759,81244,237.58,0.577273399,193022,1,0,1,fraud
IG0000265,16779,5158,3720,50150,51.16,1.435692921,25657,1,0,1,fraud
IG0000266,110061,8875,1198,1440948,8.34,0.047399351,120134,,,,unlabeled
IG0000267,75012,9572,4635,469884,18.99,0.121093717,89219,,,,unlabeled
IG0000268,108114,8125,2933,454278,26.23,0.19899709,119172,,,,unlabeled
IG0000269,89416,1998,1283,1771300,5.23,0.017162536,92697,,,,unlabeled
IG0000270,25486,6435,1931,1708799,1.98,0.051205554,33852,,,,unlabeled
IG0000271,20967,5401,76,615603,4.3,0.11874536,26444,,,,unlabeled
IG0000272,153695,5629,4631,343892,47.68,0.085201168,163955,1,0,1,fraud
IG0000273,78397,4375,1721,1048029,8.06,0.061067012,84493,,,,unlabeled
IG0000274,182453,6402,2221,502849,38,0.098637961,191076,,,,unlabeled
IG0000275,196452,3299,3782,1069569,19.03,0.035621825,203533,,,,unlabeled
IG0000276,105181,6080,2054,1739899,6.51,0.022070247,113315,,,,unlabeled
IG0000277,23970,5316,4996,1182119,2.9,0.023178716,34282,,,,unlabeled
IG0000278,150720,4787,2894,1351503,11.72,0.044690985,158401,,,,unlabeled
IG0000279,24766,8376,1985,1036861,3.39,0.095866273,35127,,,,unlabeled
IG0000280,126329,4827,3397,1303565,10.32,0.050860525,134553,,,,unlabeled
IG0000281,198491,9045,3079,867699,24.27,0.006799593,210615,,,,unlabeled
IG0000282,139119,573,4443,1435370,10.04,0.001950717,144135,,,,unlabeled
IG0000283,195680,2628,3024,1017733,19.78,0.022402732,201332,,,,unlabeled
IG0000284,64591,3923,1776,721222,9.75,0.017331695,70290,,,,unlabeled
IG0000285,108274,5887,2931,856409,13.67,0.073913282,117092,,,,unlabeled
IG0000286,127026,4585,1231,1690053,7.86,0.052128543,132842,,,,unlabeled
IG0000287,24285,8218,1396,1908631,1.78,0.033531888,33899,,,,unlabeled
IG0000288,104828,8777,3526,870145,13.46,0.088490999,117131,,,,unlabeled
IG0000289,24717,3638,4588,875833,3.76,0.03904854,32943,,,,unlabeled
IG0000290,84605,7887,4352,1920921,5.04,0.033005001,96844,,,,unlabeled
IG0000291,192090,3381,293,501296,39.05,0.128267531,195764,,,,unlabeled
IG0000292,101642,9700,1040,584880,19.21,0.005642183,112382,,,,unlabeled
IG0000293,79239,525,2214,1710067,4.79,0.003567112,81978,,,,unlabeled
IG0000294,109617,9154,4311,1012217,12.16,0.042876182,123082,,,,unlabeled
IG0000295,17094,3524,2401,1623215,1.42,0.045034084,23019,,,,unlabeled
IG0000296,8639,2690,4654,1316967,1.21,0.073198493,15983,,,,unlabeled
IG0000297,177363,5050,586,1890659,9.68,0.049612331,182999,,,,unlabeled
IG0000298,198802,2870,2841,995964,20.53,0.006425935,204513,,,,unlabeled
IG0000299,168780,2569,2504,1454264,11.95,0.035894446,173853,,,,unlabeled
IG0000300,102850,6535,4356,1455102,7.82,0.042058907,113741,,,,unlabeled
IG0000301,1609,6271,2856,764571,1.4,0.110257909,10736,,,,unlabeled
IG0000302,146158,8882,2662,161414,97.7,0.29427435,157702,1,0,1,fraud
IG0000303,46250,7928,464,1391391,3.93,0.033347923,54642,,,,unlabeled
IG0000304,178428,3222,1439,1878490,9.75,0.036997801,183089,,,,unlabeled
IG0000305,37347,1707,4638,1112571,3.93,0.019144846,43692,,,,unlabeled
IG0000306,175623,4206,742,898859,20.09,0.086331672,180571,,,,unlabeled
IG0000307,146162,4312,4622,434271,35.71,0.000690813,155096,,,,unlabeled
IG0000308,142546,5720,701,1179524,12.63,0.010936615,148967,,,,unlabeled
IG0000309,25399,8162,183,384666,8.77,0.109705563,33744,,,,unlabeled
IG0000310,171389,6117,1189,297060,60.15,0.043762203,178695,1,0,1,fraud
IG0000311,71359,5604,4819,456485,17.92,0.167584915,81782,,,,unlabeled
IG0000312,27655,4899,2784,1864730,1.9,0.004290165,35338,,,,unlabeled
IG0000313,198982,6733,2226,1393210,14.93,0.05591404,207941,,,,unlabeled
IG0000314,101256,2175,3887,1895678,5.66,0.012502123,107318,,,,unlabeled
IG0000315,103168,8839,1663,1872435,6.07,0.009346119,113670,,,,unlabeled
IG0000316,7532,6575,3473,1780536,0.99,0.029204689,17580,,,,unlabeled
IG0000317,29146,9671,1917,806058,5.05,0.020842173,40734,,,,unlabeled
IG0000318,68978,8511,1014,46469,168.94,1.41384579,78503,1,0,1,fraud
IG0000319,176117,9859,4272,130035,146.31,0.379128696,190248,1,0,1,fraud
IG0000320,11922,5551,1469,550818,3.44,0.012526824,18942,,,,unlabeled
IG0000321,125527,2243,3127,1900731,6.89,0.048507653,130897,,,,unlabeled
IG0000322,84762,1114,4359,459820,19.62,0.188986995,90235,,,,unlabeled
IG0000323,9580,9612,3493,1489202,1.52,0.045124839,22685,,,,unlabeled
IG0000324,17236,5829,388,573761,4.09,0.03607774,23453,,,,unlabeled
IG0000325,53613,9391,2069,1576307,4.13,0.025248889,65073,,,,unlabeled
IG0000326,31934,1451,2991,796298,4.57,0.077734717,36376,,,,unlabeled
IG0000327,71110,9241,3911,1314032,6.41,0,84262,,,,unlabeled
IG0000328,45970,3629,3217,1993468,2.65,0.016503902,52816,,,,unlabeled
IG0000329,197326,7859,2779,1047096,19.86,0.046509585,207964,,,,unlabeled
IG0000330,63396,2088,866,458953,14.46,0.151213741,66350,,,,unlabeled
IG0000331,65654,6169,3262,129090,58.16,0.684793555,75085,1,0,1,fraud
IG0000332,68336,6835,1312,1889165,4.05,0.036365272,76483,,,,unlabeled
IG0000333,30630,4290,4552,1117197,3.53,0.035266833,39472,,,,unlabeled
IG0000334,27103,2680,7,976457,3.05,0.028265454,29790,,,,unlabeled
IG0000335,182806,2521,2023,17833,1050.58,4.05988897,187350,1,0,1,fraud
IG0000336,41977,1458,1391,265281,16.9,0.059559486,44826,,,,unlabeled
IG0000337,168286,9481,4750,1809085,10.09,0.011000036,182517,,,,unlabeled
IG0000338,120634,3331,2199,436180,28.92,0.046311156,126164,,,,unlabeled
IG0000339,24514,9373,1555,3507,1010.61,6.700883946,35442,1,0,1,fraud
IG0000340,155185,8396,3234,991992,16.82,0.027117154,166815,,,,unlabeled
IG0000341,63095,2046,298,1466110,4.46,0.047608979,65439,,,,unlabeled
